Nombre,Apellido_Paterno,Apellido_Materno
Rodrigo,Stark,Potter
Danny,Perez,Gonzalez
Leticia,Diaz,Amores
Luis,Ackerman,Viera
Stolas,Goetia,Goetia
Blitz,Reynolds,Uchiha
Husk,Newton,Uzumaki
Octavia,Solis,Haruno
Stella,Mora,Hyuga
Moxie,Inesta,Uzumaki
Striker,Gil,Sanz
Milie,Fernandez,Arevalo
Bluey,Heeler,Evans
Bandit,Heeler,Avalos
Chilli,Heeler,Yeti
Bingo,Heeler,Nesquik
Muffin,Heeler,Zucaritas
Socks,Heeler,Helluva
Coco,Heeler,Hazbin
Karl,Avalos,Pina
Cris,Evans,Fernandez
Bob,Arevalo,Inesta
Patricio,Sanz,Monroy
Naruto,Uzumaki,Vazquez
Sasuke,Uchiha,Diaz
Hinata,Hyuga,Perez
Sakura,Haruno,Stark
Boruto,Uzumaki,Manzana
Sarada,Uchiha,Hola
Rodrigo,Stark,Potter
Danny,Perez,Gonzalez
Leticia,Diaz,Amores
Luis,Ackerman,Viera
Stolas,Goetia,Goetia
Blitz,Reynolds,Uchiha
Husk,Newton,Uzumaki
Octavia,Solis,Haruno
Stella,Mora,Hyuga
Moxie,Inesta,Uzumaki
Striker,Gil,Sanz
Milie,Fernandez,Arevalo
Bluey,Heeler,Evans
Bandit,Heeler,Avalos
Chilli,Heeler,Yeti
Bingo,Heeler,Nesquik
Muffin,Heeler,Zucaritas
Socks,Heeler,Helluva
Coco,Heeler,Hazbin
Karl,Avalos,Pina
Cris,Evans,Fernandez
Bob,Arevalo,Inesta
Patricio,Sanz,Monroy
Naruto,Uzumaki,Vazquez
Sasuke,Uchiha,Diaz
Hinata,Hyuga,Perez
Sakura,Haruno,Stark
Boruto,Uzumaki,Manzana
Sarada,Uchiha,Hola
Rodrigo,Stark,Potter
Danny,Perez,Gonzalez
Leticia,Diaz,Amores
Luis,Ackerman,Viera
Stolas,Goetia,Goetia
Blitz,Reynolds,Uchiha
Husk,Newton,Uzumaki
Octavia,Solis,Haruno
Stella,Mora,Hyuga
Moxie,Inesta,Uzumaki
Striker,Gil,Sanz
Milie,Fernandez,Arevalo
Bluey,Heeler,Evans
Bandit,Heeler,Avalos
Chilli,Heeler,Yeti
Bingo,Heeler,Nesquik
Muffin,Heeler,Zucaritas
Socks,Heeler,Helluva
Coco,Heeler,Hazbin
Karl,Avalos,Pina
Cris,Evans,Fernandez
Bob,Arevalo,Inesta
Patricio,Sanz,Monroy
Naruto,Uzumaki,Vazquez
Sasuke,Uchiha,Diaz
Hinata,Hyuga,Perez
Sakura,Haruno,Stark
Boruto,Uzumaki,Manzana
Sarada,Uchiha,Hola
Rodrigo,Stark,Potter
Danny,Perez,Gonzalez
Leticia,Diaz,Amores
Luis,Ackerman,Viera
Stolas,Goetia,Goetia
Blitz,Reynolds,Uchiha
Husk,Newton,Uzumaki
Octavia,Solis,Haruno
Stella,Mora,Hyuga
Moxie,Inesta,Uzumaki
Striker,Gil,Sanz
Milie,Fernandez,Arevalo
Bluey,Heeler,Evans
Bandit,Heeler,Avalos
Chilli,Heeler,Yeti
Bingo,Heeler,Nesquik
Muffin,Heeler,Zucaritas
Socks,Heeler,Helluva
Coco,Heeler,Hazbin
Karl,Avalos,Pina
Cris,Evans,Fernandez
Bob,Arevalo,Inesta
Patricio,Sanz,Monroy
Naruto,Uzumaki,Vazquez
Sasuke,Uchiha,Diaz
Hinata,Hyuga,Perez
Sakura,Haruno,Stark
Boruto,Uzumaki,Manzana
Sarada,Uchiha,Hola
Rodrigo,Stark,Potter
Danny,Perez,Gonzalez
Leticia,Diaz,Amores
Luis,Ackerman,Viera
Stolas,Goetia,Goetia
Blitz,Reynolds,Uchiha
Husk,Newton,Uzumaki
Octavia,Solis,Haruno
Stella,Mora,Hyuga
Moxie,Inesta,Uzumaki
Striker,Gil,Sanz
Milie,Fernandez,Arevalo
Bluey,Heeler,Evans
Bandit,Heeler,Avalos
Chilli,Heeler,Yeti
Bingo,Heeler,Nesquik
Muffin,Heeler,Zucaritas
Socks,Heeler,Helluva
Coco,Heeler,Hazbin
Karl,Avalos,Pina
Cris,Evans,Fernandez
Bob,Arevalo,Inesta
Patricio,Sanz,Monroy
Naruto,Uzumaki,Vazquez
Sasuke,Uchiha,Diaz
Hinata,Hyuga,Perez
Sakura,Haruno,Stark
Boruto,Uzumaki,Manzana
Sarada,Uchiha,Hola
Rodrigo,Stark,Potter
Danny,Perez,Gonzalez
Leticia,Diaz,Amores
Luis,Ackerman,Viera
Stolas,Goetia,Goetia
Blitz,Reynolds,Uchiha
Husk,Newton,Uzumaki
Octavia,Solis,Haruno
Stella,Mora,Hyuga
Moxie,Inesta,Uzumaki
Striker,Gil,Sanz
Milie,Fernandez,Arevalo
Bluey,Heeler,Evans
Bandit,Heeler,Avalos
Chilli,Heeler,Yeti
Bingo,Heeler,Nesquik
Muffin,Heeler,Zucaritas
Socks,Heeler,Helluva
Coco,Heeler,Hazbin
Karl,Avalos,Pina
Cris,Evans,Fernandez
Bob,Arevalo,Inesta
Patricio,Sanz,Monroy
Naruto,Uzumaki,Vazquez
Sasuke,Uchiha,Diaz
Hinata,Hyuga,Perez
Sakura,Haruno,Stark
Boruto,Uzumaki,Manzana
